subject,date,session,burst,t_s,n_pulse,A_orig,B_fixed,p2p,ramp,mw_peak
subject_1785399031142,20260730,171717,0,1.162,9,1217.2,53.27272727272727,225.0,-17.200000000000003,133.0
subject_1785399031142,20260730,171717,1,2.818,11,2415.2,87.31818181818181,233.0,-102.4,189.5
subject_1785399031142,20260730,171717,2,4.349,13,3048.8,114.04545454545455,372.0,10.799999999999997,339.5
subject_1785399031142,20260730,171717,3,6.036,10,4515.700000000001,106.72727272727272,277.5,-182.35000000000002,232.0
subject_1785399031142,20260730,171717,4,7.629,12,2376.3999999999996,98.9090909090909,276.0,-54.550000000000004,241.75
subject_1785399031142,20260730,171717,5,9.254,12,2108.1,108.72727272727272,317.5,-23.349999999999994,288.25
subject_1785399031142,20260730,171717,6,10.879,10,5101.4,387.9090909090909,829.5,24.049999999999997,822.0
subject_1785399031142,20260730,171717,7,12.472,9,1069.8,92.81818181818181,384.0,18.700000000000003,323.5
subject_1785399031142,20260730,171717,8,14.097,12,3306.2,87.56818181818181,277.0,-56.949999999999996,242.75
subject_1785399031142,20260730,171717,9,15.753,11,1900.8000000000002,92.5909090909091,332.0,-12.900000000000006,301.5
subject_1785399031142,20260730,171717,10,17.44,11,2402.4,95.45454545454545,335.0,-90.6,264.0
subject_1785399031142,20260730,171717,11,19.002,12,3236.7000000000003,93.36363636363637,349.0,-127.5,293.5
subject_1785399031142,20260730,171717,12,20.627,13,1575.0,87.18181818181819,332.0,-116.5,258.0
subject_1785399031142,20260730,171717,13,22.283,12,3398.6,62.13636363636364,235.5,-211.85,181.5
subject_1785399031142,20260730,171717,14,23.876,12,4236.200000000001,102.25,364.5,-153.6,272.75
subject_1785399031142,20260730,171717,15,25.501,11,3700.8,90.0,287.0,-195.7,204.5
subject_1785399031142,20260730,171717,16,27.126,12,4173.8,99.52272727272728,347.5,-21.95,249.75
subject_1785399031142,20260730,171717,17,28.719,13,4313.8,97.45454545454545,325.0,-24.4,307.0
subject_1785399031142,20260730,171717,18,30.344,13,5287.0,84.68181818181819,277.0,-141.8,161.0
subject_1785399031142,20260730,171717,19,32.0,11,5471.4,76.22727272727273,258.0,-102.1,136.5
subject_1785399031142,20260730,171717,20,33.562,13,5096.0,72.63636363636364,223.0,-158.7,141.0
subject_1785399031142,20260730,171717,21,35.218,13,8243.6,664.0,1369.0,131.2,1390.0
subject_1785399031142,20260730,171717,22,36.874,12,8728.8,656.1136363636364,1650.5,185.95000000000002,1669.25
subject_1785399031142,20260730,171717,23,38.37,17,8134.6,609.5,1470.0,198.39999999999998,1212.0
subject_1785399031142,20260730,171717,24,40.033,15,8921.400000000001,673.9545454545455,1587.0,196.10000000000002,1590.5
subject_1785399031142,20260730,171717,25,41.658,14,8775.0,650.090909090909,1222.0,189.25,1250.0
subject_1785399031142,20260730,171717,26,43.338,13,7699.4,623.5454545454545,1185.0,122.80000000000001,1184.0
subject_1785399031142,20260730,171717,27,44.869,12,6609.5,550.0,1039.0,50.00000000000001,881.5
subject_1785399031142,20260730,171717,28,46.654,11,4274.8,41.77272727272727,168.0,-129.9,140.5
subject_1785399031142,20260730,171717,29,48.216,14,5656.8,298.52272727272725,443.0,-63.900000000000006,486.75
subject_1785399031142,20260730,171717,30,49.872,13,5700.0,489.8636363636364,772.0,103.69999999999999,815.5
subject_1785399031142,20260730,171717,31,51.406,13,7256.0,576.0454545454545,954.0,139.0,974.0
subject_1785399031142,20260730,171717,32,53.001,15,8208.8,614.8181818181819,1151.0,159.9,1181.5
subject_1785399031142,20260730,171717,33,54.626,12,8431.4,505.72727272727275,886.0,160.85,913.0
subject_1785399031142,20260730,171717,34,56.251,15,8050.4,455.22727272727275,757.0,144.39999999999998,807.0
subject_1785399031142,20260730,171717,35,57.875,14,8706.1,637.3863636363637,1237.0,240.95,1265.25
subject_1785399031142,20260730,171717,36,59.499,14,8468.2,656.409090909091,1236.5,209.85,1278.25
subject_1785399031142,20260730,171717,37,61.276,12,6860.2,365.70454545454544,696.5,-44.25,669.75
subject_1785399031142,20260730,171717,38,62.749,16,8667.8,625.2727272727273,1229.5,214.3,1250.5
subject_1785399031142,20260730,171717,39,64.373,17,9050.0,655.2272727272727,1285.0,253.7,1292.0
subject_1785399031142,20260730,171717,40,65.99,15,8572.8,635.0,1240.0,156.6,1094.0
subject_1785399031142,20260730,171717,41,67.623,15,8574.8,581.0909090909091,1023.0,216.2,1104.0
subject_1785399031142,20260730,171717,42,69.277,14,8598.2,567.75,918.0,165.10000000000002,978.25
subject_1785399031142,20260730,171717,43,70.933,15,8960.6,677.5454545454545,1296.0,221.2,1343.0
subject_1785399031142,20260730,171717,44,72.497,15,8711.8,532.4090909090909,895.0,250.10000000000002,937.5
subject_1785399031142,20260730,171717,45,74.122,17,8729.4,612.9090909090909,1136.0,235.89999999999998,1177.0
subject_1785399031142,20260730,171717,46,75.777,10,8747.900000000001,663.0454545454545,1236.5,192.55,1275.5
subject_1785399031142,20260730,171717,47,77.371,15,9033.8,668.3636363636364,1248.0,234.60000000000002,1283.0
subject_1785399031142,20260730,171717,48,79.086,12,9342.5,695.25,1567.0,201.60000000000002,1593.0
subject_1785399031142,20260730,171717,49,80.68,12,8887.4,684.8863636363636,1267.5,179.5,1315.75
subject_1785399031142,20260730,171717,50,82.276,13,9001.8,693.7727272727273,1434.0,207.5,1474.0
subject_1785399031142,20260730,171717,51,83.87,15,9146.4,668.8636363636364,1211.0,269.6,1259.5
subject_1785399031142,20260730,171717,52,85.487,16,8935.400000000001,670.7272727272727,1193.0,175.60000000000002,1203.0
