subject,date,session,burst,t_s,n_pulse,A_orig,B_fixed,p2p,ramp,mw_peak
subject_1785214065897,20260728,135004,0,0.438,20,1126.9,100.77272727272728,333.5,-6.8,210.5
subject_1785214065897,20260728,135004,1,2.054,20,898.2,99.29545454545455,357.5,-9.649999999999999,206.75
subject_1785214065897,20260728,135004,2,3.672,17,1338.6,132.72727272727272,550.0,5.7,320.0
subject_1785214065897,20260728,135004,3,5.289,20,1070.4,113.88636363636363,430.5,-14.0,288.25
subject_1785214065897,20260728,135004,4,6.906,19,1153.0,102.0909090909091,434.0,-41.7,295.5
subject_1785214065897,20260728,135004,5,8.523,9,1437.3999999999999,163.95454545454547,516.0,-17.0,405.5
subject_1785214065897,20260728,135004,6,10.14,20,988.9000000000001,103.25,281.5,-35.85,206.75
subject_1785214065897,20260728,135004,7,11.757,17,1045.4,123.5909090909091,413.0,-36.0,282.0
subject_1785214065897,20260728,135004,8,13.373,10,1646.5,164.5909090909091,569.5,-40.05,365.5
subject_1785214065897,20260728,135004,9,14.99,20,1122.5,98.36363636363637,403.5,-27.75,208.5
subject_1785214065897,20260728,135004,10,16.607,20,1332.9,113.4090909090909,475.5,-46.25,307.5
subject_1785214065897,20260728,135004,11,18.224,18,1323.6,116.3409090909091,448.0,-49.9,246.75
subject_1785214065897,20260728,135004,12,19.841,18,1296.0,104.47727272727272,399.5,-51.6,240.75
subject_1785214065897,20260728,135004,13,21.458,18,1015.7,84.95454545454545,337.5,-47.099999999999994,181.5
subject_1785214065897,20260728,135004,14,23.075,20,1044.8,79.22727272727272,276.0,-37.05,157.0
subject_1785214065897,20260728,135004,15,24.692,19,1186.1999999999998,111.31818181818181,313.0,-29.3,221.0
subject_1785214065897,20260728,135004,16,26.309,20,1150.6999999999998,119.77272727272728,323.5,-27.849999999999998,221.25
subject_1785214065897,20260728,135004,17,27.926,20,1036.5,123.11363636363637,313.5,-34.599999999999994,226.25
subject_1785214065897,20260728,135004,18,29.543,20,1032.6,120.81818181818181,435.0,-12.2,241.5
subject_1785214065897,20260728,135004,19,31.16,20,1118.0,129.79545454545453,427.0,-3.55,256.25
