subject,date,session,burst,t_s,n_pulse,A_orig,B_fixed,p2p,ramp,mw_peak
subject_1784598047019,20260721,132830,0,0.172,18,1601.7,209.70454545454544,662.5,106.1,481.25
subject_1784598047019,20260721,132830,1,1.76,19,1794.0,236.3181818181818,653.0,108.0,530.0
subject_1784598047019,20260721,132830,2,3.38,19,2009.6000000000001,261.90909090909093,798.0,70.5,623.0
subject_1784598047019,20260721,132830,3,4.974,20,1556.8000000000002,218.38636363636363,635.5,71.05000000000001,596.5
subject_1784598047019,20260721,132830,4,6.589,20,1586.1000000000001,226.79545454545456,718.5,55.3,614.0
subject_1784598047019,20260721,132830,5,8.209,20,1695.2,220.25,756.5,48.8,577.75
subject_1784598047019,20260721,132830,6,9.83,20,1482.0,234.90909090909093,696.5,77.9,595.5
subject_1784598047019,20260721,132830,7,11.449,20,2070.8,297.84090909090907,870.0,71.85,690.75
subject_1784598047019,20260721,132830,8,13.069,20,1877.1999999999998,250.38636363636363,843.5,52.1,582.5
subject_1784598047019,20260721,132830,9,14.72,19,2136.3999999999996,258.5,839.0,90.2,636.5
subject_1784598047019,20260721,132830,10,16.309,20,2159.1,232.1818181818182,813.5,103.4,589.0
subject_1784598047019,20260721,132830,11,17.929,20,2246.3,301.8863636363636,944.5,121.15,809.0
subject_1784598047019,20260721,132830,12,19.549,20,2374.0,320.0,1015.0,122.2,869.25
subject_1784598047019,20260721,132830,13,21.169,20,2193.2,302.0681818181818,840.5,109.25,769.75
subject_1784598047019,20260721,132830,14,22.794,20,2175.2,254.75,743.0,117.3,672.0
subject_1784598047019,20260721,132830,15,24.414,20,2420.7000000000003,306.56818181818187,905.0,124.6,692.25
subject_1784598047019,20260721,132830,16,26.06,19,1925.6,295.0,900.0,110.4,584.0
subject_1784598047019,20260721,132830,17,27.68,19,2119.0,307.95454545454544,892.0,101.1,679.0
subject_1784598047019,20260721,132830,18,29.301,19,2018.6,235.86363636363637,671.0,105.1,504.0
subject_1784598047019,20260721,132830,19,30.921,19,2157.3999999999996,298.40909090909093,891.0,135.1,635.0
subject_1784598047019,20260721,132830,20,32.541,19,2137.4,311.45454545454544,916.0,132.4,673.5
subject_1784598047019,20260721,132830,21,34.161,19,2269.3999999999996,322.6363636363636,967.0,124.6,711.5
subject_1784598047019,20260721,132830,22,35.781,19,2016.8000000000002,321.3636363636364,772.0,132.0,699.5
subject_1784598047019,20260721,132830,23,37.401,19,2303.0,272.0,688.0,127.5,612.5
subject_1784598047019,20260721,132830,24,39.021,19,2440.0,327.6363636363636,793.0,134.1,746.0
subject_1784598047019,20260721,132830,25,40.641,19,2184.2,345.77272727272725,850.0,136.9,763.5
subject_1784598047019,20260721,132830,26,42.261,19,2042.2,336.54545454545456,759.0,132.0,740.0
subject_1784598047019,20260721,132830,27,43.881,19,2203.3999999999996,363.22727272727275,709.0,155.5,752.5
subject_1784598047019,20260721,132830,28,45.47,20,2132.1,368.3409090909091,735.0,155.5,738.5
subject_1784598047019,20260721,132830,29,47.121,19,2303.0,384.1818181818182,768.0,176.0,741.5
subject_1784598047019,20260721,132830,30,48.741,19,2407.2,394.0,882.0,172.3,810.0
subject_1784598047019,20260721,132830,31,50.33,19,2098.4,363.3181818181818,723.0,147.5,729.0
subject_1784598047019,20260721,132830,32,51.95,20,2179.2,374.29545454545456,672.5,157.95,745.5
subject_1784598047019,20260721,132830,33,53.57,18,2239.8999999999996,375.3636363636364,707.0,146.3,782.25
subject_1784598047019,20260721,132830,34,55.253,18,2273.7,380.54545454545456,692.0,155.15,882.0
subject_1784598047019,20260721,132830,35,56.841,19,2272.6000000000004,388.45454545454544,633.0,147.5,717.0
subject_1784598047019,20260721,132830,36,58.493,18,2379.7,395.77272727272725,715.0,142.0,770.25
subject_1784598047019,20260721,132830,37,60.082,19,2378.3999999999996,396.72727272727275,578.0,150.8,671.5
subject_1784598047019,20260721,132830,38,61.702,19,2174.8,299.6363636363636,676.0,128.3,592.5
subject_1784598047019,20260721,132830,39,63.29,20,2015.1,358.6818181818182,604.0,149.65,742.0
subject_1784598047019,20260721,132830,40,64.942,18,2210.0,376.4318181818182,701.5,128.3,816.25
subject_1784598047019,20260721,132830,41,66.562,19,2421.2,391.72727272727275,665.0,115.6,782.0
subject_1784598047019,20260721,132830,42,68.151,18,2255.6,412.6363636363636,755.5,164.0,797.25
subject_1784598047019,20260721,132830,43,69.771,19,1754.0,334.22727272727275,555.0,143.7,640.5
subject_1784598047019,20260721,132830,44,71.391,18,2041.1,336.1818181818182,740.5,120.3,705.5
subject_1784598047019,20260721,132830,45,73.011,19,1780.8000000000002,300.40909090909093,650.0,115.3,626.5
subject_1784598047019,20260721,132830,46,74.636,19,2273.8,322.6818181818182,723.0,105.3,696.5
subject_1784598047019,20260721,132830,47,76.256,17,1968.0,338.59090909090907,504.0,112.7,710.0
subject_1784598047019,20260721,132830,48,77.902,19,1923.3999999999999,290.77272727272725,807.0,98.2,706.5
subject_1784598047019,20260721,132830,49,79.523,19,1987.1999999999998,325.04545454545456,831.0,121.4,765.0
