subject,date,session,burst,t_s,n_pulse,A_orig,B_fixed,p2p,ramp,mw_peak
subject_1785399031142,20260730,182148,0,0.98,12,3024.2,247.8181818181818,649.0,76.9,529.5
subject_1785399031142,20260730,182148,1,2.635,3,3437.6,410.02272727272725,1321.0,-108.85,758.25
subject_1785399031142,20260730,182148,2,4.415,6,2755.4,130.79545454545456,429.5,184.2,339.25
subject_1785399031142,20260730,182148,3,6.106,7,3285.4,164.61363636363637,548.0,304.55,426.25
subject_1785399031142,20260730,182148,4,7.444,12,3101.7,193.0909090909091,616.0,158.75,423.0
subject_1785399031142,20260730,182148,5,9.068,9,2973.0,164.5,578.0,188.4,479.0
subject_1785399031142,20260730,182148,6,10.692,9,3535.0,168.0,562.0,317.4,427.0
subject_1785399031142,20260730,182148,7,12.347,10,3174.3,172.20454545454544,561.0,250.0,442.5
subject_1785399031142,20260730,182148,8,13.971,11,3025.3999999999996,163.5909090909091,540.0,251.8,412.5
subject_1785399031142,20260730,182148,9,15.595,5,2499.6,166.3181818181818,541.0,234.5,431.5
subject_1785399031142,20260730,182148,10,17.219,7,2898.8,170.72727272727272,506.0,217.8,401.0
subject_1785399031142,20260730,182148,11,19.223,4,3206.1000000000004,160.9318181818182,534.5,288.95000000000005,387.25
subject_1785399031142,20260730,182148,12,20.467,15,2628.3999999999996,161.27272727272728,493.0,101.5,358.0
subject_1785399031142,20260730,182148,13,22.091,12,2739.8,165.27272727272728,543.5,79.2,384.5
subject_1785399031142,20260730,182148,14,23.814,15,2681.6000000000004,147.3181818181818,461.0,144.65,369.0
subject_1785399031142,20260730,182148,15,25.5,3,2849.0,158.0,491.0,157.0,395.0
subject_1785399031142,20260730,182148,16,27.026,12,3153.4,162.3181818181818,461.5,195.1,398.75
subject_1785399031142,20260730,182148,17,28.717,12,2034.4,157.25,505.5,110.3,395.75
subject_1785399031142,20260730,182148,18,30.305,10,2486.8,213.4090909090909,926.0,-86.95,461.25
