subject,date,session,burst,t_s,n_pulse,A_orig,B_fixed,p2p,ramp,mw_peak
subject_1785399031142,20260730,215640,0,0.024,11,360.2,36.95454545454545,160.0,-0.2999999999999998,116.5
subject_1785399031142,20260730,215640,1,1.491,11,338.0,38.81818181818182,161.0,1.5,101.0
subject_1785399031142,20260730,215640,2,3.115,12,369.20000000000005,37.72727272727273,146.0,-9.85,92.25
subject_1785399031142,20260730,215640,3,4.8,11,354.4,35.63636363636363,171.0,4.199999999999999,95.5
subject_1785399031142,20260730,215640,4,6.392,10,390.29999999999995,42.77272727272727,150.5,3.55,90.0
subject_1785399031142,20260730,215640,5,7.984,12,398.8,41.45454545454545,166.0,-4.7,102.25
subject_1785399031142,20260730,215640,6,9.607,15,399.40000000000003,46.81818181818182,159.0,6.300000000000001,115.0
subject_1785399031142,20260730,215640,7,11.231,12,382.09999999999997,42.09090909090909,185.5,0.8,117.0
subject_1785399031142,20260730,215640,8,12.916,9,359.4,38.72727272727273,155.0,7.9,99.5
subject_1785399031142,20260730,215640,9,14.508,13,594.2,67.13636363636364,240.0,-2.2,152.5
subject_1785399031142,20260730,215640,10,16.1,13,785.8000000000001,75.4090909090909,313.0,7.4,180.0
subject_1785399031142,20260730,215640,11,17.723,13,768.6,75.27272727272727,311.0,7.9,180.0
subject_1785399031142,20260730,215640,12,19.347,14,874.6000000000001,82.63636363636363,333.0,10.6,202.5
subject_1785399031142,20260730,215640,13,20.97,13,791.6,86.45454545454545,305.0,7.5,179.0
subject_1785399031142,20260730,215640,14,22.624,12,863.7,87.9090909090909,328.5,8.55,196.0
subject_1785399031142,20260730,215640,15,24.216,15,942.4000000000001,94.68181818181819,335.0,5.7,209.5
subject_1785399031142,20260730,215640,16,25.839,15,889.8,89.72727272727273,325.0,2.4,185.5
subject_1785399031142,20260730,215640,17,27.462,16,1056.6,96.86363636363637,383.0,0.8999999999999995,219.5
subject_1785399031142,20260730,215640,18,29.086,14,946.3,97.75,340.0,4.000000000000001,198.75
subject_1785399031142,20260730,215640,19,30.74,13,1195.0,120.4090909090909,453.0,3.1,261.5
subject_1785399031142,20260730,215640,20,32.332,15,1000.8,97.63636363636364,348.0,3.6000000000000014,215.5
subject_1785399031142,20260730,215640,21,33.955,13,1056.6,93.81818181818181,314.0,-12.5,232.5
subject_1785399031142,20260730,215640,22,35.579,14,946.4,99.02272727272727,331.0,1.3,202.0
subject_1785399031142,20260730,215640,23,37.233,14,1158.2,115.70454545454545,427.5,5.65,233.0
